ISO3,Country,Population_M,Pop_15_24_M,Pop_15_29_Est_M,Youth_Pct_15_24,Youth_Unemployment_Pct,Youth_Account_Pct,Youth_Unbanked_Pct,Mobile_Per_100,Internet_Users_Pct,GDP_Per_Capita_USD,GenZ_GX_Total_B,GenZ_USD_Total_B,Grant_Impact_Multiple,Need_Score,Readiness_Score,GenZ_Impact_Index,Tier
AFG,Afghanistan,42.6,9.04,13.55,21.2,17.2,,,55.5,15.9,414,2.846,341.57,60.9,33.9,13.1,47.1,Tier 3: Moderate Opportunity
ALB,Albania,2.4,0.30,0.46,12.8,25.6,29.4,70.6,93.0,83.1,11378,0.096,11.47,2.2,30.3,22.7,53.1,Tier 3: Moderate Opportunity
DZA,Algeria,46.8,6.56,9.84,14.0,29.9,18.5,81.5,111.6,76.2,5753,2.066,247.96,4.4,35.6,26.1,61.7,Tier 2: Strong Opportunity
ASM,American Samoa,0.0,0.01,0.01,18.1,,,,,,,0.003,0.32,,24.3,,,
AND,Andorra,0.1,0.01,0.01,11.0,,,,156.1,94.2,49304,0.003,0.34,0.5,2.2,25.8,28.0,Tier 4: Emerging Opportunity
AGO,Angola,37.9,7.25,10.87,19.1,26.7,,,70.0,37.9,2666,2.282,273.90,9.5,34.5,17.3,51.8,Tier 3: Moderate Opportunity
ATG,Antigua and Barbuda,0.1,0.01,0.02,14.1,,,,200.5,72.1,23542,0.004,0.50,1.1,20.0,26.1,46.1,Tier 3: Moderate Opportunity
ARG,Argentina,45.7,7.02,10.53,15.4,19.2,84.4,15.6,137.7,89.2,13970,2.211,265.37,1.8,19.2,30.0,49.2,Tier 3: Moderate Opportunity
ARM,Armenia,3.0,0.38,0.57,12.5,26.7,63.7,36.3,134.5,80.0,8556,0.119,14.28,2.9,24.1,25.6,49.7,Tier 3: Moderate Opportunity
ABW,Aruba,0.1,0.01,0.02,12.7,,,,130.7,,39499,0.004,0.52,0.6,9.9,16.2,26.0,Tier 4: Emerging Opportunity
AUS,Australia,27.2,3.29,4.94,12.1,9.4,98.8,1.2,112.5,96.1,64604,1.038,124.52,0.4,4.2,28.5,32.6,Tier 4: Emerging Opportunity
AUT,Austria,9.2,0.91,1.37,9.9,10.4,100.0,0.0,121.8,95.3,58269,0.287,34.45,0.4,2.6,27.8,30.4,Tier 4: Emerging Opportunity
AZE,Azerbaijan,10.2,1.39,2.08,13.6,13.5,31.7,68.3,107.7,89.0,7284,0.436,52.36,3.5,28.3,26.2,54.5,Tier 3: Moderate Opportunity
BHS,"Bahamas, The",0.4,0.06,0.09,14.2,18.3,,,100.0,92.4,39455,0.018,2.16,0.6,14.8,23.0,37.8,Tier 4: Emerging Opportunity
BHR,Bahrain,1.6,0.19,0.29,12.1,5.5,76.6,23.4,153.9,100.0,29654,0.061,7.28,0.8,11.7,29.4,41.1,Tier 3: Moderate Opportunity
BGD,Bangladesh,173.6,33.16,49.75,19.1,9.1,38.7,61.3,111.3,44.5,2593,10.446,1253.57,9.7,30.8,22.8,53.7,Tier 3: Moderate Opportunity
BRB,Barbados,0.3,0.04,0.06,13.1,18.0,,,114.6,69.7,26545,0.012,1.40,0.9,17.3,20.3,37.6,Tier 4: Emerging Opportunity
BLR,Belarus,9.1,0.92,1.39,10.1,10.5,,,129.0,91.5,8318,0.291,34.96,3.0,16.6,27.8,44.4,Tier 3: Moderate Opportunity
BEL,Belgium,11.9,1.36,2.04,11.5,17.3,98.0,2.0,103.2,94.6,56615,0.429,51.50,0.4,5.9,26.7,32.5,Tier 4: Emerging Opportunity
BLZ,Belize,0.4,0.08,0.12,18.9,18.6,58.0,42.0,67.2,70.2,7681,0.025,2.98,3.3,28.2,17.6,45.7,Tier 3: Moderate Opportunity
BEN,Benin,14.5,2.84,4.26,19.6,3.1,42.0,58.0,116.0,32.4,1485,0.895,107.36,17.0,29.3,19.0,48.3,Tier 3: Moderate Opportunity
BTN,Bhutan,0.8,0.14,0.21,17.8,17.9,,,95.6,90.0,3831,0.044,5.32,6.6,29.3,23.2,52.5,Tier 3: Moderate Opportunity
BOL,Bolivia,12.4,2.30,3.45,18.5,5.2,53.8,46.2,101.6,77.3,4421,0.725,87.00,5.7,26.1,24.5,50.5,Tier 3: Moderate Opportunity
BIH,Bosnia and Herzegovina,3.2,0.33,0.50,10.5,27.3,58.4,41.6,117.7,83.4,9359,0.105,12.55,2.7,23.7,24.7,48.4,Tier 3: Moderate Opportunity
BWA,Botswana,2.5,0.49,0.74,19.5,45.3,52.3,47.7,179.0,57.9,7696,0.155,18.57,3.3,36.4,25.9,62.3,Tier 2: Strong Opportunity
BRA,Brazil,212.0,30.61,45.91,14.4,15.7,84.4,15.6,101.0,84.2,10311,9.641,1156.96,2.4,18.3,27.9,46.3,Tier 3: Moderate Opportunity
VGB,British Virgin Islands,0.0,0.01,0.01,13.0,,,,90.8,,,0.002,0.19,,9.1,10.9,20.0,Tier 5: Long-Term
BRN,Brunei Darussalam,0.5,0.07,0.10,14.7,17.9,,,118.7,99.0,33153,0.021,2.57,0.8,17.0,25.6,42.6,Tier 3: Moderate Opportunity
BGR,Bulgaria,6.4,0.63,0.94,9.8,12.5,79.2,20.8,117.9,80.4,17596,0.198,23.75,1.4,13.8,24.9,38.7,Tier 4: Emerging Opportunity
BFA,Burkina Faso,23.5,4.89,7.33,20.8,6.5,47.3,52.7,116.2,25.4,982,1.539,184.73,25.7,30.0,18.5,48.5,Tier 3: Moderate Opportunity
BDI,Burundi,14.0,2.80,4.21,20.0,1.7,,,63.2,7.2,219,0.884,106.02,114.8,26.8,11.3,38.0,Tier 4: Emerging Opportunity
CPV,Cabo Verde,0.5,0.09,0.14,17.2,28.1,,,113.0,74.6,5192,0.028,3.41,4.9,32.1,21.8,53.9,Tier 3: Moderate Opportunity
KHM,Cambodia,17.6,3.03,4.55,17.2,0.7,40.5,59.5,120.8,68.9,2628,0.955,114.59,9.6,26.9,24.9,51.8,Tier 3: Moderate Opportunity
CMR,Cameroon,29.1,5.78,8.67,19.8,6.6,57.2,42.8,96.5,42.2,1830,1.820,218.39,13.8,27.2,19.7,46.9,Tier 3: Moderate Opportunity
CAN,Canada,41.3,4.80,7.21,11.6,13.3,100.0,0.0,94.2,94.2,54340,1.513,181.57,0.5,4.5,27.1,31.7,Tier 4: Emerging Opportunity
CYM,Cayman Islands,0.1,0.01,0.01,10.3,,,,139.3,,99144,0.002,0.29,0.3,0.6,16.7,17.3,Tier 5: Long-Term
CAF,Central African Republic,5.3,1.20,1.79,22.4,10.0,,,38.8,13.8,516,0.377,45.21,48.8,32.6,9.6,42.2,Tier 3: Moderate Opportunity
TCD,Chad,20.3,4.06,6.09,20.0,1.5,20.7,79.3,70.2,12.0,962,1.278,153.34,26.2,33.5,12.9,46.4,Tier 3: Moderate Opportunity
CHI,Channel Islands,0.2,0.02,0.03,10.6,13.7,,,,,74586,0.006,0.67,0.3,5.8,2.2,8.1,Tier 5: Long-Term
CHL,Chile,19.8,2.54,3.81,12.9,21.0,85.4,14.6,135.9,94.5,16710,0.801,96.11,1.5,17.0,29.7,46.7,Tier 3: Moderate Opportunity
CHN,China,1409.0,161.36,242.03,11.5,15.0,88.6,11.4,128.2,90.6,13303,50.827,6099.27,1.9,14.5,32.6,47.0,Tier 3: Moderate Opportunity
COL,Colombia,52.9,8.33,12.50,15.8,19.4,62.2,37.8,167.0,77.3,7919,2.624,314.88,3.2,25.1,30.6,55.7,Tier 2: Strong Opportunity
COM,Comoros,0.9,0.17,0.25,19.2,8.8,32.5,67.5,109.9,31.9,1663,0.052,6.28,15.2,32.3,15.7,48.0,Tier 3: Moderate Opportunity
COD,"Congo, Dem. Rep.",109.3,20.85,31.28,19.1,8.0,31.6,68.4,53.2,19.0,649,6.568,788.17,38.8,32.3,14.2,46.6,Tier 3: Moderate Opportunity
COG,"Congo, Rep.",6.3,1.21,1.82,19.2,40.6,55.4,44.6,94.9,43.1,2482,0.382,45.88,10.2,35.4,18.2,53.7,Tier 3: Moderate Opportunity
CRI,Costa Rica,5.1,0.74,1.11,14.4,20.5,67.1,32.9,133.5,85.4,18587,0.233,27.94,1.4,21.3,27.0,48.3,Tier 3: Moderate Opportunity
CIV,Cote d'Ivoire,31.9,6.18,9.27,19.4,4.2,48.6,51.4,172.0,40.6,2728,1.947,233.66,9.2,27.8,25.2,53.0,Tier 3: Moderate Opportunity
HRV,Croatia,3.9,0.40,0.60,10.4,16.5,55.2,44.8,117.1,83.2,24050,0.127,15.19,1.0,18.6,24.8,43.4,Tier 3: Moderate Opportunity
CUB,Cuba,11.0,1.24,1.86,11.3,4.3,,,69.6,69.6,,0.391,46.90,,4.1,20.3,24.4,Tier 5: Long-Term
CUW,Curacao,0.2,0.02,0.03,12.4,,,,93.8,,22833,0.006,0.73,1.1,17.4,12.3,29.7,Tier 4: Emerging Opportunity
CYP,Cyprus,1.4,0.14,0.21,10.4,12.9,95.3,4.7,148.3,91.2,38674,0.045,5.35,0.7,6.7,27.4,34.1,Tier 4: Emerging Opportunity
CZE,Czechia,10.9,1.13,1.70,10.4,9.2,91.3,8.7,126.0,86.0,31823,0.356,42.71,0.8,7.9,26.9,34.8,Tier 4: Emerging Opportunity
DNK,Denmark,6.0,0.72,1.08,12.1,11.8,97.9,2.1,126.7,98.8,71026,0.227,27.22,0.4,4.9,28.4,33.3,Tier 4: Emerging Opportunity
DJI,Djibouti,1.2,0.23,0.34,19.6,76.5,,,48.5,64.8,3553,0.072,8.68,7.1,47.3,16.4,63.6,Tier 2: Strong Opportunity
DMA,Dominica,0.1,0.01,0.01,13.3,,,,85.2,81.3,10405,0.003,0.33,2.4,24.9,18.6,43.5,Tier 3: Moderate Opportunity
DOM,Dominican Republic,11.4,1.94,2.91,17.0,12.9,47.4,52.6,91.9,86.1,10876,0.611,73.37,2.3,26.8,24.9,51.7,Tier 3: Moderate Opportunity
ECU,Ecuador,18.1,3.13,4.70,17.3,8.6,60.5,39.5,101.0,72.7,6875,0.987,118.48,3.7,24.1,24.0,48.2,Tier 3: Moderate Opportunity
EGY,"Egypt, Arab Rep.",116.5,20.50,30.76,17.6,17.3,32.5,67.5,92.8,74.0,3338,6.459,775.07,7.5,32.8,25.4,58.3,Tier 2: Strong Opportunity
SLV,El Salvador,6.3,1.16,1.74,18.3,7.5,36.8,63.2,179.7,62.6,5580,0.366,43.88,4.5,29.6,27.5,57.1,Tier 2: Strong Opportunity
GNQ,Equatorial Guinea,1.9,0.33,0.49,17.3,15.6,,,49.5,63.5,6745,0.103,12.37,3.7,27.0,16.6,43.6,Tier 3: Moderate Opportunity
ERI,Eritrea,3.5,0.79,1.18,22.2,10.1,,,59.1,,,0.247,29.69,,23.4,13.8,37.2,Tier 4: Emerging Opportunity
EST,Estonia,1.4,0.14,0.21,10.4,19.3,98.2,1.8,150.2,93.2,31428,0.045,5.40,0.8,9.2,27.8,37.0,Tier 4: Emerging Opportunity
SWZ,Eswatini,1.2,0.25,0.37,20.0,54.4,44.1,55.9,128.4,61.3,3910,0.078,9.41,6.4,41.5,21.9,63.5,Tier 2: Strong Opportunity
ETH,Ethiopia,132.1,27.81,41.72,21.1,5.4,37.9,62.1,59.9,20.3,1134,8.761,1051.33,22.2,31.8,15.2,47.0,Tier 3: Moderate Opportunity
FRO,Faroe Islands,0.1,0.01,0.01,13.9,,,,105.8,,74120,0.002,0.29,0.3,6.9,12.7,19.6,Tier 5: Long-Term
FJI,Fiji,0.9,0.16,0.23,16.8,15.1,,,112.0,74.1,6426,0.049,5.90,3.9,26.4,22.2,48.6,Tier 3: Moderate Opportunity
FIN,Finland,5.6,0.63,0.94,11.1,18.7,98.6,1.4,127.5,93.5,53150,0.197,23.66,0.5,5.8,27.6,33.4,Tier 4: Emerging Opportunity
FRA,France,68.6,8.45,12.67,12.3,18.6,100.0,0.0,116.7,86.8,46103,2.661,319.31,0.5,7.2,28.3,35.5,Tier 4: Emerging Opportunity
GAB,Gabon,2.5,0.44,0.66,17.4,36.3,62.0,38.0,122.6,68.2,8230,0.139,16.73,3.1,30.6,23.1,53.7,Tier 3: Moderate Opportunity
GMB,"Gambia, The",2.8,0.56,0.84,20.3,10.8,34.8,65.2,117.1,48.7,871,0.177,21.23,28.9,33.3,20.0,53.3,Tier 3: Moderate Opportunity
GEO,Georgia,3.7,0.43,0.65,11.6,29.9,68.7,31.3,155.2,81.9,9241,0.136,16.29,2.7,23.1,27.6,50.7,Tier 3: Moderate Opportunity
DEU,Germany,83.5,7.96,11.94,9.5,6.6,90.9,9.1,124.7,92.5,56104,2.508,300.99,0.4,3.5,29.7,33.1,Tier 4: Emerging Opportunity
GHA,Ghana,34.4,6.62,9.93,19.2,5.3,80.0,20.0,98.8,70.7,2391,2.085,250.25,10.5,21.8,24.3,46.1,Tier 3: Moderate Opportunity
GIB,Gibraltar,0.0,0.00,0.01,12.5,,,,97.6,,,0.002,0.19,,7.6,11.7,19.3,Tier 5: Long-Term
GRC,Greece,10.4,1.08,1.61,10.3,22.4,69.9,30.1,110.8,85.0,24626,0.339,40.69,1.0,16.9,25.6,42.5,Tier 3: Moderate Opportunity
GRL,Greenland,0.1,0.01,0.01,12.3,,,,118.6,,58499,0.002,0.27,0.4,4.2,14.2,18.5,Tier 5: Long-Term
GRD,Grenada,0.1,0.02,0.03,14.4,,,,95.8,69.4,11705,0.005,0.64,2.2,26.4,18.1,44.5,Tier 3: Moderate Opportunity
GUM,Guam,0.2,0.02,0.04,14.0,12.9,,,,,,0.007,0.89,,12.5,3.3,15.8,Tier 5: Long-Term
GTM,Guatemala,18.4,3.74,5.62,20.3,4.6,34.8,65.2,113.7,56.7,6150,1.179,141.52,4.1,30.7,22.8,53.5,Tier 3: Moderate Opportunity
GIN,Guinea,14.8,2.99,4.49,20.3,7.1,33.7,66.3,97.9,32.3,1695,0.943,113.15,14.9,32.4,17.7,50.1,Tier 3: Moderate Opportunity
GNB,Guinea-Bissau,2.2,0.45,0.67,20.3,2.8,,,128.1,28.7,1008,0.141,16.92,25.0,27.4,17.6,45.0,Tier 3: Moderate Opportunity
GUY,Guyana,0.8,0.14,0.22,17.3,24.7,,,112.6,79.4,29675,0.045,5.43,0.8,23.6,22.9,46.5,Tier 3: Moderate Opportunity
HTI,Haiti,11.8,2.26,3.39,19.2,36.8,,,65.2,48.0,2143,0.712,85.45,11.8,38.5,17.3,55.8,Tier 2: Strong Opportunity
HND,Honduras,10.8,2.12,3.18,19.6,8.3,41.2,58.8,74.4,58.1,3426,0.668,80.17,7.4,30.3,19.5,49.8,Tier 3: Moderate Opportunity
HKG,"Hong Kong SAR, China",7.5,0.56,0.85,7.5,9.5,95.9,4.1,319.5,96.0,54075,0.178,21.35,0.5,3.2,33.3,36.5,Tier 4: Emerging Opportunity
HUN,Hungary,9.6,1.00,1.50,10.4,15.1,96.4,3.6,105.0,91.5,23292,0.314,37.70,1.1,10.1,26.0,36.2,Tier 4: Emerging Opportunity
ISL,Iceland,0.4,0.05,0.08,13.0,8.8,100.0,0.0,121.5,98.0,86041,0.016,1.89,0.3,4.4,25.4,29.8,Tier 4: Emerging Opportunity
IND,India,1450.9,257.37,386.05,17.7,15.7,83.3,16.7,80.6,60.2,2695,81.071,9728.47,9.4,22.5,24.9,47.4,Tier 3: Moderate Opportunity
IDN,Indonesia,283.5,45.27,67.90,16.0,13.1,62.0,38.0,125.2,69.2,4925,14.259,1711.10,5.1,24.4,27.9,52.3,Tier 3: Moderate Opportunity
IRN,"Iran, Islamic Rep.",91.6,12.18,18.27,13.3,21.3,91.8,8.2,166.3,83.7,5190,3.836,460.32,4.9,18.4,31.9,50.3,Tier 3: Moderate Opportunity
IRQ,Iraq,46.0,9.04,13.55,19.6,31.7,29.9,70.1,101.4,81.8,6074,2.846,341.57,4.1,38.0,26.4,64.4,Tier 2: Strong Opportunity
IRL,Ireland,5.4,0.72,1.07,13.3,10.4,98.5,1.5,110.8,96.9,112895,0.225,27.03,0.2,5.3,27.0,32.3,Tier 4: Emerging Opportunity
IMN,Isle of Man,0.1,0.01,0.01,10.8,,,,,,,0.003,0.34,,2.3,,,
ISR,Israel,10.0,1.54,2.31,15.5,6.2,57.5,42.5,153.3,87.0,54177,0.486,58.32,0.5,14.2,29.4,43.6,Tier 3: Moderate Opportunity
ITA,Italy,59.0,5.89,8.84,10.0,20.2,57.4,42.6,131.9,87.0,40385,1.855,222.64,0.6,15.5,29.1,44.6,Tier 3: Moderate Opportunity
JAM,Jamaica,2.8,0.46,0.69,16.1,10.4,75.4,24.6,115.1,89.5,7754,0.144,17.27,3.3,20.5,25.7,46.3,Tier 3: Moderate Opportunity
JPN,Japan,124.0,11.77,17.65,9.5,3.9,97.4,2.6,178.4,85.0,32487,3.707,444.78,0.8,5.0,33.0,38.0,Tier 4: Emerging Opportunity
JOR,Jordan,11.6,2.13,3.20,18.5,39.1,29.2,70.8,67.5,92.5,4618,0.672,80.59,5.5,39.3,24.1,63.5,Tier 2: Strong Opportunity
KAZ,Kazakhstan,20.6,2.82,4.22,13.7,3.8,68.3,31.7,127.1,92.9,14155,0.887,106.43,1.8,17.2,28.9,46.1,Tier 3: Moderate Opportunity
KEN,Kenya,56.4,12.07,18.11,21.4,15.5,89.8,10.2,120.6,32.1,2132,3.802,456.26,11.8,24.0,20.7,44.7,Tier 3: Moderate Opportunity
KIR,Kiribati,0.1,0.02,0.03,17.3,,,,51.2,88.0,2289,0.007,0.88,11.0,36.1,17.9,53.9,Tier 3: Moderate Opportunity
PRK,"Korea, Dem. People's Rep.",26.5,3.44,5.16,13.0,7.8,,,24.1,,,1.084,130.06,,8.4,11.9,20.3,Tier 5: Long-Term
KOR,"Korea, Rep.",51.8,5.14,7.72,9.9,6.4,98.4,1.6,162.1,97.4,36239,1.620,194.45,0.7,4.7,32.8,37.5,Tier 4: Emerging Opportunity
XKX,Kosovo,1.6,0.27,0.41,17.1,,41.4,58.6,34.5,,7023,0.086,10.32,3.6,34.2,9.3,43.5,Tier 3: Moderate Opportunity
