ISO3,Country,GDP_Per_Capita_USD,Year
AFG,Afghanistan,413.76,2023
ALB,Albania,11377.78,2024
DZA,Algeria,5752.99,2024
AND,Andorra,49303.65,2024
AGO,Angola,2665.87,2024
ATG,Antigua and Barbuda,23542.45,2024
ARG,Argentina,13969.78,2024
ARM,Armenia,8556.21,2024
ABW,Aruba,39498.59,2024
AUS,Australia,64603.99,2024
AUT,Austria,58268.88,2024
AZE,Azerbaijan,7283.85,2024
BHS,"Bahamas, The",39455.45,2024
BHR,Bahrain,29653.57,2024
BGD,Bangladesh,2593.42,2024
BRB,Barbados,26544.87,2024
BLR,Belarus,8317.63,2024
BEL,Belgium,56614.57,2024
BLZ,Belize,7681.24,2024
BEN,Benin,1485.38,2024
BMU,Bermuda,142855.37,2024
BTN,Bhutan,3831.33,2023
BOL,Bolivia,4421.17,2024
BIH,Bosnia and Herzegovina,9358.79,2024
BWA,Botswana,7695.75,2024
BRA,Brazil,10310.55,2024
BRN,Brunei Darussalam,33153.47,2024
BGR,Bulgaria,17596.02,2024
BFA,Burkina Faso,981.99,2024
BDI,Burundi,219.42,2024
CPV,Cabo Verde,5192.48,2024
KHM,Cambodia,2627.88,2024
CMR,Cameroon,1830.01,2024
CAN,Canada,54340.35,2024
CYM,Cayman Islands,99143.52,2023
CAF,Central African Republic,516.16,2024
TCD,Chad,961.56,2024
CHI,Channel Islands,74585.52,2023
CHL,Chile,16709.89,2024
CHN,China,13303.15,2024
COL,Colombia,7919.21,2024
COM,Comoros,1662.76,2024
COD,"Congo, Dem. Rep.",649.38,2024
COG,"Congo, Rep.",2482.25,2024
CRI,Costa Rica,18587.15,2024
CIV,Cote d'Ivoire,2727.89,2024
HRV,Croatia,24050.44,2024
CUW,Curacao,22832.9,2024
CYP,Cyprus,38674.29,2024
CZE,Czechia,31823.31,2024
DNK,Denmark,71026.48,2024
DJI,Djibouti,3552.72,2024
DMA,Dominica,10405.28,2024
DOM,Dominican Republic,10875.66,2024
ECU,Ecuador,6874.71,2024
EGY,"Egypt, Arab Rep.",3338.47,2024
SLV,El Salvador,5579.66,2024
GNQ,Equatorial Guinea,6745.4,2024
EST,Estonia,31428.35,2024
SWZ,Eswatini,3909.56,2024
ETH,Ethiopia,1133.88,2024
FRO,Faroe Islands,74119.66,2024
FJI,Fiji,6425.74,2024
FIN,Finland,53149.77,2024
FRA,France,46103.08,2024
PYF,French Polynesia,22439.88,2024
GAB,Gabon,8230.04,2024
GMB,"Gambia, The",871.34,2024
GEO,Georgia,9241.49,2024
DEU,Germany,56103.73,2024
GHA,Ghana,2390.77,2024
GRC,Greece,24626.15,2024
GRL,Greenland,58498.97,2023
GRD,Grenada,11705.09,2024
GTM,Guatemala,6150.03,2024
GIN,Guinea,1694.95,2024
GNB,Guinea-Bissau,1007.74,2024
GUY,Guyana,29675.24,2024
HTI,Haiti,2142.62,2024
XD,High income,50302.61,2024
HND,Honduras,3426.43,2024
HKG,"Hong Kong SAR, China",54074.69,2024
HUN,Hungary,23292.33,2024
ISL,Iceland,86040.53,2024
IND,India,2694.74,2024
IDN,Indonesia,4925.43,2024
IRN,"Iran, Islamic Rep.",5190.17,2024
IRQ,Iraq,6073.61,2024
IRL,Ireland,112894.95,2024
ISR,Israel,54176.68,2024
ITA,Italy,40385.34,2024
JAM,Jamaica,7753.8,2024
JPN,Japan,32487.08,2024
JOR,Jordan,4618.1,2024
KAZ,Kazakhstan,14154.63,2024
KEN,Kenya,2132.43,2024
KIR,Kiribati,2288.63,2024
KOR,"Korea, Rep.",36238.64,2024
XKX,Kosovo,7023.07,2024
KWT,Kuwait,32717.72,2024
KGZ,Kyrgyz Republic,2420.19,2024
LAO,Lao PDR,2123.98,2024
LVA,Latvia,23409.08,2024
LBN,Lebanon,3477.72,2023
LSO,Lesotho,971.91,2024
LBR,Liberia,851.5,2024
LBY,Libya,6569.16,2024
LIE,Liechtenstein,206780.59,2023
LTU,Lithuania,29384.02,2024
XM,Low income,751.32,2024
XN,Lower middle income,2544.49,2024
LUX,Luxembourg,137781.68,2024
MAC,"Macao SAR, China",72004.74,2024
MDG,Madagascar,544.99,2024
MWI,Malawi,522.57,2024
MYS,Malaysia,11874.43,2024
MDV,Maldives,13379.35,2024
MLI,Mali,1094.62,2024
MLT,Malta,43898.58,2024
MHL,Marshall Islands,7726.34,2024
MRT,Mauritania,2110.12,2024
MUS,Mauritius,11990.78,2024
MEX,Mexico,14185.78,2024
FSM,"Micronesia, Fed. Sts.",4166.0,2024
MDA,Moldova,7576.2,2024
MCO,Monaco,288001.43,2024
MNG,Mongolia,6750.63,2024
MNE,Montenegro,13263.33,2024
MAR,Morocco,4153.19,2024
MOZ,Mozambique,656.78,2024
MMR,Myanmar,1359.05,2024
NAM,Namibia,4413.13,2024
NRU,Nauru,13609.16,2024
NPL,Nepal,1447.31,2024
NLD,Netherlands,67520.42,2024
NCL,New Caledonia,29213.19,2024
NZL,New Zealand,49205.18,2024
NIC,Nicaragua,2847.54,2024
NER,Niger,735.27,2024
NGA,Nigeria,1084.16,2024
MKD,North Macedonia,9291.86,2024
NOR,Norway,86785.43,2024
OMN,Oman,20285.23,2024
PAK,Pakistan,1478.77,2024
PLW,Palau,15610.82,2023
PAN,Panama,19161.22,2024
PNG,Papua New Guinea,3006.71,2024
PRY,Paraguay,6416.1,2024
PER,Peru,8452.37,2024
PHL,Philippines,3984.83,2024
POL,Poland,25103.57,2024
PRT,Portugal,29292.24,2024
PRI,Puerto Rico (US),39343.72,2024
QAT,Qatar,76688.69,2024
ROU,Romania,20080.21,2024
RUS,Russian Federation,14889.02,2024
RWA,Rwanda,999.65,2024
WSM,Samoa,5392.88,2024
SMR,San Marino,59879.72,2023
STP,Sao Tome and Principe,3490.57,2024
SAU,Saudi Arabia,35121.66,2024
SEN,Senegal,1773.22,2024
SRB,Serbia,13679.21,2024
SYC,Seychelles,17858.82,2024
SLE,Sierra Leone,806.65,2024
SGP,Singapore,90674.07,2024
SXM,Sint Maarten (Dutch part),41472.59,2024
SVK,Slovak Republic,25992.67,2024
SVN,Slovenia,34301.03,2024
SLB,Solomon Islands,1933.56,2024
SOM,"Somalia, Fed. Rep.",629.54,2024
ZAF,South Africa,6267.19,2024
ESP,Spain,35326.77,2024
LKA,Sri Lanka,4515.57,2024
KNA,St. Kitts and Nevis,23960.65,2024
LCA,St. Lucia,14181.63,2024
VCT,St. Vincent and the Grenadines,11501.23,2024
SDN,Sudan,984.61,2024
SUR,Suriname,6961.79,2024
SWE,Sweden,57117.49,2024
CHE,Switzerland,103998.19,2024
TJK,Tajikistan,1341.2,2024
TZA,Tanzania,1186.72,2024
THA,Thailand,7346.62,2024
TLS,Timor-Leste,1331.97,2024
TGO,Togo,1119.38,2024
TON,Tonga,5651.59,2023
TTO,Trinidad and Tobago,18733.41,2024
TUN,Tunisia,4181.14,2024
TUR,Turkiye,15892.72,2024
TKM,Turkmenistan,6856.66,2024
TCA,Turks and Caicos Islands,37506.78,2024
TUV,Tuvalu,6344.78,2023
UGA,Uganda,1077.91,2024
UKR,Ukraine,5389.47,2024
ARE,United Arab Emirates,50273.51,2024
GBR,United Kingdom,53246.37,2024
USA,United States,84534.04,2024
XT,Upper middle income,10996.1,2024
URY,Uruguay,23906.51,2024
UZB,Uzbekistan,3161.7,2024
VUT,Vanuatu,3410.77,2024
VEN,"Venezuela, RB",4217.59,2024
VNM,Viet Nam,4717.29,2024
PSE,West Bank and Gaza,2592.31,2024
ZMB,Zambia,1187.11,2024
ZWE,Zimbabwe,2497.2,2024
